# Run & Bun, Leader Brawly, youtube nDT5wUzhDOg ("Leader Brawly crits again!"), 640x360
# party: Flechinder L21 60hp, Roselia L21 55hp, Arbok L22 62hp, Tirtouga L21 58hp, Timburr L21 69hp, Monferno L21 59hp
time	their_bar	our_hp	message
50.00	0.90	?4	Leader Brawly would like to battle! 9
51.75	0.90	?4	Leader Brawly sent
52.75	1.00	?4	Leader Brawly sent
56.25	1.00	60/60	bo! Flechinder
65.25	1.00	37/60	Foe Kubfu used
69.25	0.50	37/60	Flechinder used Aerial Ace!
72.00	0.28	37/60	
72.75	0.28	37/60	What oil BF ight Bag
81.25	0.28	11/60	Foe Kubfu used Zen Headbutt
88.75	0.28	11/60	Flechinder Flame Body burned Foe Kubfu
93.00	0.28	21/60	Flechinder Oran Berry
96.75	0.05	21/60	Flechinder used Aerial Ace!
97.50	0.05	21/60	It's super
100.50	0.04	21/60	It’s super effective
104.00	1.00	21/60	Foe Kubfu fainted
109.50	0.89	21/60	Flechinder gained Exp Points 9
114.00	1.00	21/60	Leader Brawly sent out Lopunny
114.75	1.00	21/60	What oll BF ight Bag
123.00	0.84	21/60	Flechinder used Quick Attack
127.75	0.84	21/60	Foe Lopunny is switched out with the Eject Button
132.00	1.00	21/60	oUt Hitmontop
139.50	1.00	21/60	Flechinder that’s enough Come back
145.50	1.00	62/62	Go! Arbok
149.25	1.00	62/62	Arbok Intimidate cuts Foe: Hitmontop Attack
150.25	1.00	62/62	Arbok Intimidate cuts Foe Hitmontop Attack
154.75	1.00	49/62	Foe Hitmontop used back Slide
163.25	1.00	49/62	Arbok that’s enough Come back
167.75	1.00	55/55	Gol Roselia
173.25	1.00	38/55	Foe Hitmontop used Rock Slide
180.50	1.00	37/55	Roselia ia, that’s enough Come back
186.50	1.00	49/62	Go! Arbok
190.25	1.00	49/62	Arbok Intimidate cuts Foe Hitmontop s Attack
194.50	1.00	42/62	Foe Hitmontop used back Slide
203.00	0.69	40/62	Arbok used Poison Fang
206.50	0.69	40/62	Foe Hitmontop badly poisoned
207.00	0.69	40/62	Foe
211.00	0.69	24/62	Foe Hitmontop used back Slide
217.00	0.69	10/62	critical hit!
219.50	0.69	20/62	Arbok Oran Berry restored health
223.25	0.69	20/62	Hitmontop hurt by poisoned
228.25	0.36	20/62	Arbok used Poison
233.00	0.36	9/62	Foe Hitmontop used Pursuit
236.50	0.36	0/62	critical hit!
238.00	0.36	?	fainted
243.00	0.26	?	Foe Hitmontop is. hurt by poisoned
264.50	0.26	?	Ge: Farr 1.
268.50	0.26	37/55	Go for it, Roselia
269.00	0.26	37/55	What oll BF ight Bag
274.50	0.26	35/55	Foe Hitmontop used Mach Punch
276.50	0.26	29/55	It’s not very effective
282.75	0.09	30/55	Roselia used Absorb
285.25	0.09	34/55	Foe Hitmontop had its: energy drained
289.75	0.04	34/55	Foe Hitmontop is. hurt by poisoned
291.00	1.00	34/55	Foe Hitmontop fainted ?
293.00	1.00	34/55	Flechinder gained
297.00	0.89	34/55	Roselia gained Exp Points 9
297.50	0.89	34/55	Leader
308.50	1.00	34/55	Roselia that’s enough Come back
311.50	1.00	58/58	Go! Tirtouga
315.50	1.00	58/58	Foe Combusken used Incinerate
317.50	1.00	50/58	It's not very effective
323.00	1.00	50/58	Tirtouga a's Oran Berry was burn up!
325.50	1.00	50/58	Foe Combusken Speed Boost raised ite Speed
331.75	1.00	50/58	Foe Combusken used
333.75	1.00	50/58	Foe Combusken Attack rose
336.25	1.00	50/58	Foe Combusken Sp. Atk rose
340.75	0.26	50/58	Tirtouga used Brine
342.50	0.11	50/58	Aerial hit!
343.00	0.11	50/58	
346.50	0.11	50/58	It’s super effective
347.00	0.11	50/58	
349.50	0.11	50/58	Foe Combusken Speed Boost
355.00	0.11	50/58	Tirtouga used Aqua Jet!
355.50	0.04	50/58	
358.25	0.04	50/58	It’s super effective
360.00	1.00	50/58	Foe Combusken fainted
361.50	1.00	50/58	
365.00	0.88	50/58	Tirtouga gained
369.00	0.95	50/58	Leader Brawly sent out Poliwhirl
371.50	1.00	50/58	Tirtouga do? Pokemon = Run
383.00	1.00	50/58	Tirtouga that's:encugh! Come back
387.50	1.00	34/55	Gol Roselia
392.50	1.00	34/55	Foe Poliwhirl used Hidden
394.50	1.00	32/55	It’s not very effective
402.00	1.00	17/55	Foe Poliwhirl used Ice Beam
404.25	1.00	0/55	
407.25	1.00	0/55	It’s super effective
409.00	1.00	?	Roselia fainted ?
428.75	1.00	69/69	Go! Timburr
433.75	1.00	?	Foe Poliwhirl used Bubble Beam
438.75	1.00	44/69	Foe Poliwhirl used Bubble Beam
442.50	0.58	44/69	Timburr used Wake-Up Slap
453.00	0.58	22/69	Foe Poliwhirl used Bubble Beam
455.50	0.58	32/69	Timburr Oran Berry restored health
460.25	0.15	32/69	Timburr used Wake-Up Slap
483.50	0.15	8/69	Foe Poliwhirl used Bubble Beam
489.25	0.04	8/69	Timburr used Wake-Up Slap
