# Run & Bun, Leader Brawly, run7 box, youtube XHwJMYBe6Cw, 640x360
# party: Masquerain L22 66hp, Staravia L21 57, Pancham L21 61, Tirtouga L21 58, Cufant L21 61, Eelektrik L21 61 -- matches run7box4
time	their_bar	our_hp	message
36.25	0.89	?4	Leader Brawly would like to battle! 9
39.00	1.00	?4	Leader Brawly sent
47.00	1.00	66/66	Go! Masquerain
51.00	1.00	66/66	Foe Kubfu Attack Sweet lowered
59.00	0.59	66/66	Ha Squerainiused
61.75	0.43	66/66	It’s super effective
67.75	0.43	46/66	Foe Kubfu used Zen Headbutt
75.50	0.43	27/66	Foe Kubfu used Sucker Punch
78.50	0.43	27/66	Masquerain Berry restored health
79.75	0.43	37/66	Masquerain ns Oran Berry restored health
83.75	0.22	37/66	Ma Squeraln used Gust
87.25	0.04	37/66	Tt’s super effective
88.50	1.00	37/66	fainted
90.00	1.00	37/66	Masquerain gained 0 Exe. Points
93.00	0.89	37/66	Masquerain gained Exp Points 9
97.50	1.00	37/66	Leader Brawly sent out Lopunny
106.75	0.90	37/66	Masquerain used Quick Attack
110.50	0.90	37/66	Lopunny ts switched out with the Eject Button
113.75	1.00	37/66	Leader Brawly sent out Combusken
119.50	1.00	37/66	Masquerain
120.75	1.00	37/66	Masquerain that's enough Come back
124.00	1.00	61/61	Go! Eelektrik
128.25	1.00	60/61	Foe Combusken used Thunder Punch
132.50	1.00	51/61	It’s not very effective
136.50	1.00	51/61	Foe Combusken Speed Boost raised its Speed
142.50	1.00	51/61	
144.25	1.00	51/61	Eelektrik that’s enough Come back
147.25	1.00	58/58	Go! Tirtouga
152.25	1.00	58/58	Foe Combusken used Work Up!
158.00	1.00	58/58	Foe Combusken Sp. Atk rose
160.25	1.00	58/58	rdivediite Speed
166.75	1.00	39/58	Foe Combusken used Double Kick
176.00	1.00	26/58	Tirtouga Oran Berry restored health
178.00	1.00	27/58	It’s ref TEeky Live!
179.50	1.00	27/58	Hit 2 timefs!|!
184.00	0.43	27/58	Tirtouga used Brine
184.50	0.32	27/58	It's
188.00	0.32	27/58	Tt’s super effective
190.75	0.32	27/58	Foe Combusken sken' s: Speed Banet raised ite Speed
198.00	0.04	27/58	Tirtouga used Aqua Jet!
201.75	0.04	27/58	
203.25	1.00	27/58	Foe Combusken fainted 9
205.00	1.00	27/58	Masquerain gained Exp Points
206.00	1.00	27/58	Tirtouga gained
209.75	0.87	27/58	Eelektrik gained Exp Points ¥
213.75	0.94	27/58	Leader Brawly sent out Hitmontop
214.50	1.00	27/58	Tirtouga de? Pokemon = Run
224.25	1.00	?	Tirtouga that’s enough Come back
230.25	1.00	57/57	Go! Staravia
233.75	1.00	57/57	Staravia s Intimidate cuts Foe Hitmontop Attack
238.00	1.00	38/57	Foe Hitmontop used Mach Punch
245.00	1.00	38/57	Staravia that's enough Come back
248.00	1.00	61/61	Go! Cufant
253.25	1.00	61/61	Foe Hitmontop used back Slide
255.50	1.00	53/61	- - a Je - ie - : ,
263.25	1.00	53/61	Cufant that's enough Come back
269.00	1.00	38/57	Go! Staravia
272.50	1.00	38/57	Staravia Intimidate cuts Foe Hitmontop Attack
280.00	1.00	23/57	Foe Hitmontop used Mach Punch
282.50	1.00	23/57	Staravia Oran Berry restored health
283.25	1.00	33/57	Staravia Oran Berry restored health
289.50	1.00	?	Staravia that's: enough Come back
292.50	1.00	53/61	Ga! Cufant
296.75	1.00	47/61	Foe Hitmontop used Rock Slide
299.00	1.00	34/61	critical hit!
301.00	1.00	34/61	It’s not very effective
306.25	1.00	34/61	Come bacle!
313.25	1.00	37/66	bo! Masquerain
316.50	1.00	37/66	cuts Foe Hitmontop Attack
320.00	1.00	37/66	Fee. Hitmontop used
322.25	1.00	35/66	It's not very.etfertive..
328.75	1.00	35/66	Masquerain that's enough Come back
332.00	1.00	34/61	Go! Cufant
335.75	1.00	34/61	Foe Hitmontop used back Slide
341.25	1.00	29/61	It’s not very effective
344.50	1.00	39/61	Cufant Oran Berry restored health
350.25	1.00	?	Cufant that’s enough Come back
356.75	1.00	35/66	Go! Masquerain
360.75	1.00	35/66	Masquerain Intimidate
364.00	1.00	35/66	Foe. Hitmontop used Mach Punch
367.00	1.00	33/66	Tt’s not very effective
368.50	1.00	22/66	
376.50	1.00	33/66	Masquerain What enough Come back
379.75	1.00	39/61	Go! Cufant
384.00	1.00	37/61	Foe Hitmontop used Rock Slide
386.00	1.00	35/61	It's not very effective
391.25	1.00	35/61	Cufant that’s enough Come back
398.50	1.00	33/66	Ga! Masquerain
402.00	1.00	33/66	Masquerain Intimidate cutte Foe Hitmontop Attack
405.50	1.00	33/66	Foe Hitmontop used
408.50	1.00	31/66	It’s not effective
416.00	1.00	31/66	Masquerain that's enough Come back
419.50	1.00	51/61	Go! Eelektrik
425.00	1.00	43/61	Foe Hitmontop used
429.00	0.00	?4	Foe Hitmontop used
431.25	1.00	34/61	Foe Hitmontop used Mach Punch
436.25	1.00	34/61	Eelektrik used Thunder Wave
437.50	1.00	34/61	Foe. Hitmontop |
438.00	1.00	34/61	Foe Hitmontop is paralyzed
439.75	1.00	34/61	Foe Hitmontop paralyzed Tt may be-unable to: move!
442.00	1.00	34/61	Foe
450.25	1.00	25/61	Foe Hitmontop used
454.50	1.00	35/61	Eelektrik Oran Berry restored health
458.75	0.69	35/61	Eelektrik used
463.50	0.69	26/61	Foe Hitmontop used
476.50	0.07	17/61	Eelektrik used Spark
480.25	0.07	17/61	Foe Hitmontop is. paralyzed It. can’t move!
485.25	0.04	17/61	Eelektrik used Spark
487.25	1.00	17/61	fainted ©
488.75	1.00	17/61	Hasquerainigained, 0 Exp. Points
489.75	1.00	17/61	Staravia gained O Exp. Points
491.25	1.00	17/61	Tirtouga gained 0 Exp. Points 9
492.50	1.00	17/61	Cufant gained 0 Exp. Points ©
496.50	0.87	17/61	Eelektrik gained Exp Points ?
501.00	0.91	17/61	Leader Brawly sent
507.50	0.90	17/61	Eelektrik that’s enough Come back
510.50	0.90	27/58	Go! Tirtouga
514.00	0.90	27/58	Foe Lopunny used Headbutt
517.00	0.90	20/58	It’s not very effective
523.00	0.90	20/58	Tirtouga that’s: enough
529.00	0.90	33/57	Go! Staravia
532.25	0.90	33/57	Staravia Intimidate cuts Foe Lopunny Attack
538.50	0.90	23/57	Foe Lopunny used DrainiPunch!
541.00	0.99	23/57	Staravia had its energy drained
546.50	0.99	23/57	
550.75	0.99	20/58	
554.75	0.99	20/58	Foe Lopunny used Retaliate
557.00	0.99	15/58	It’s not effective
569.50	0.99	23/57	Gal Staravia
573.25	0.99	23/57	Staravia Intimidate cuts Foe Lopunny Attack
578.50	0.99	15/57	Foe Lopunny used DirainiPunch!
580.50	1.00	15/57	oteravia-had its: energy drained
587.50	1.00	15/57	Staravia that’s. enough
590.75	1.00	15/58	Go! Tirtouga
594.50	1.00	15/58	Foe Lopunny used Retaliate
596.75	1.00	4/58	A critical hit!
599.25	1.00	4/58	It’s not very effective
605.50	1.00	4/58	Come bale!
612.75	1.00	31/66	Ga! Masquerain
616.25	1.00	31/66	Masquerain Intimidate cu'te Foe Lopunny Attack
621.00	1.00	31/66	Foe Lopunny used Drain Punch
623.25	1.00	30/66	It's not effective
626.75	1.00	30/66	Masquerain had! its energy drained
641.75	1.00	30/66	Masquerain that’s enough Come back
644.75	1.00	35/61	Go! Cufant
648.75	1.00	35/61	Foe Lopunny used Retaliate
651.00	1.00	31/61	It's not effective
657.25	1.00	31/61	Cufant that’s enough
660.75	1.00	61/61	Ga! Pancham
663.75	1.00	61/61	Pancham Break the mold!
670.00	1.00	54/61	Lopunny used Drain Punch
673.25	1.00	54/61	Pancham had rts: energy drained |
675.25	1.00	54/69	What ill BF ight Bag Pancham Pokemon Pursuit
680.00	1.00	44/61	Foe Lopunny used Headbutt
683.75	0.59	44/61	Pancham used Karate Chop
690.25	0.50	34/61	Foe Lopunny used Headbutt
692.75	0.50	34/61	Pancham flinched
699.75	0.50	24/61	Foe Lopunny used Headbutt
704.75	0.50	34/61	Pancham flinched
710.50	0.50	24/61	Foe Lopunny used Retaliate
713.25	0.13	24/61	Pancham used Kerate:Chop!
716.50	0.04	24/61	Tt’s super effective
717.75	1.00	24/61	Foe Lopunny fainted
719.50	1.00	24/61	Masquerain gained Exp Points ©
720.75	1.00	24/61	Staravia gained 0 Exp, Points
722.00	1.00	24/61	Pancham gained 0 Exp. Points
